Date,Date entered,Reference,Description,Amount,Card Ending,
22/05/2026,25/05/2026,10129633,HOLMES CHAPEL SERVICE  CREWE         GBR ,139.82,0757
21/05/2026,22/05/2026,10112564,GAILEY S/STN - FS551   STAFFORD      GBR ,20.30,0757
14/05/2026,15/05/2026,10111468,KNOWSLEY LANE SERVICE  PRESCOT       GBR ,141.32,0757
12/05/2026,13/05/2026,10623059,HOME BARGAINS WOLVERHA WOLVERHAMPTON GBR ,7.99,0757
12/05/2026,13/05/2026,10107817,SCREWFIX DIRECT        WWW.SCREWFIX. GBR ,10.19,0757
11/05/2026,12/05/2026,10633830,TESCO  PAY AT PUMP5204 BRAMHALL      GBR ,20.52,0757
10/05/2026,11/05/2026,10089869,RUPEYAL SERVICE STATIO ST65EP        GBR ,138.65,0757
07/05/2026,08/05/2026,10654781,MORR BREDBURY          STOCKPORT     GBR ,15.74,0757
07/05/2026,07/05/2026,00660645,DIRECT DEBIT PAYMENT - THANK YOU ,-978.60,
06/05/2026,07/05/2026,10632910,E & M COMMERCIAL       STOKE-ON-TREN GBR ,72.00,0757
05/05/2026,06/05/2026,10643205,SHELL HILTON PARK      MANCHESTER    GBR ,20.00,0757
04/05/2026,05/05/2026,10115895,RUPEYAL SERVICE STATIO ST65EP        GBR ,138.09,0757
29/04/2026,30/04/2026,10658077,MFG QUEENS             MANCHESTER    GBR ,9.29,0757
28/04/2026,29/04/2026,10686329,B&M 163 - HEYBARNES    HEYBARNES     GBR ,11.14,0757
27/04/2026,28/04/2026,10115659,SANDYFORD SERVICE STAT STOKE ON TREN GBR ,131.01,0757
24/04/2026,27/04/2026,10775700,SCREWFIX DIR LTD       L POOLERS1571 GBR ,2.68,0757
