Date,Date entered,Reference,Description,Amount,Card Ending,
24/03/2026,25/03/2026,10212319,FOLEY SF CONNECT       WALSALL       GBR ,18.84,0757
21/03/2026,23/03/2026,10233530,RUPEYAL SERVICE STATIO ST65EP        GBR ,129.35,0757
19/03/2026,20/03/2026,10207818,ESSO HOLDITCH          STOKE-ON-TREN GBR ,22.70,0757
18/03/2026,19/03/2026,10633857,HOME BARGAINS          TUNSTALL      GBR ,7.99,0757
17/03/2026,18/03/2026,10636855,ASDA  PETROL- UPT 4170 TAMWORTH      GBR ,7.77,0757
16/03/2026,17/03/2026,10247517,HOLMES CHAPEL SERVICE  CREWE         GBR ,118.05,0757
12/03/2026,13/03/2026,10650812,HOME BARGAINS          LIVERPOOL     GBR ,5.48,0757
12/03/2026,13/03/2026,10239381,SAINSBURYS S/MKTS      EAST PRESCOT  GBR ,99.00,0757
11/03/2026,12/03/2026,10213957,SHELL BIRMINGHAM R     BIRMINGHAM    GBR ,9.29,0757
09/03/2026,09/03/2026,00741645,DIRECT DEBIT PAYMENT - THANK YOU ,-902.05,
07/03/2026,09/03/2026,10154346,Longton Test Centre    Stoke-on-Tre  GBR ,50.00,0757
06/03/2026,09/03/2026,10853988,SHELL CANNOCK          CANNOCK       GBR ,117.44,0757
06/03/2026,09/03/2026,10854022,SHELL FOUR OAKS        SUTTON COLDFI GBR ,16.91,0757
04/03/2026,05/03/2026,10813740,ESSO VIADUCT           WORCESTERSHIR GBR ,17.62,0757
02/03/2026,03/03/2026,10145926,PORTERS SERVICE STATIO CONGLETON     GBR ,106.81,0757
25/02/2026,26/02/2026,10823014,Sainsburys Smkts       Stoke         GBR ,99.00,0757
25/02/2026,26/02/2026,10823015,Sainsburys Smkts       Stoke         GBR ,15.07,0757
