Date,Date entered,Reference,Description,Amount,Card Ending,
22/04/2026,23/04/2026,10739608,HALEWOOD               LIVERPOOL     ENG ,144.68,0757
19/04/2026,20/04/2026,10688762,HOME BARGAINS          TUNSTALL      GBR ,7.99,0757
17/04/2026,20/04/2026,10657728,MFG TABLEY HILL        KNUTSFORD     GBR ,149.02,0757
17/04/2026,20/04/2026,10279970,B & Q 1279             STOCKPORT     GBR ,6.79,0757
17/04/2026,20/04/2026,10209019,ASTLEY SERVICE STATION MANCHESTER    GBR ,18.58,0757
13/04/2026,14/04/2026,10750437,HILTON SERVICE STATION FEATHERSTONE  GBR ,12.68,0757
13/04/2026,14/04/2026,10126044,GAILEY S/STN - FS551   STAFFORD      GBR ,141.99,0757
10/04/2026,13/04/2026,10785560,TESCO PAY AT PUMP 3913 LIVERPOOL     GBR ,6.47,0757
09/04/2026,10/04/2026,10788431,MES (LIVERPOOL) LTD    LIVERPOOL     GBR ,5.10,0757
07/04/2026,08/04/2026,10780920,B & Q 1276             WEDNESBURY    GBR ,29.42,0757
07/04/2026,08/04/2026,10788057,RONTEC CLAYTON ROAD    STAFFORDSHIRE GBR ,132.32,0757
07/04/2026,07/04/2026,00747575,DIRECT DEBIT PAYMENT - THANK YOU ,-841.32,
06/04/2026,07/04/2026,10729492,B & Q 1075             STOKE ON TREN GBR ,32.40,0757
31/03/2026,01/04/2026,10776294,ASDA PETROL 5818       WIDNES        GBR ,99.00,0757
31/03/2026,01/04/2026,10776295,ASDA PETROL 5818       WIDNES        GBR ,37.47,0757
25/03/2026,26/03/2026,10657787,PFS @MFG BIDDULPH      BIDDULPH      GBR ,131.63,0757
25/03/2026,26/03/2026,10658147,TESCO PAYATPUMP 5098   SUTTON COLDFI GBR ,23.06,0757
